Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
35120774,12/28/2016 13:48,12/29/2016 13:02,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11211,,,,,,,,BROOKLYN,,N/A,Closed,1/11/2017 13:48,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/29/2016 13:02,01 BROOKLYN,BROOKLYN,,,Mccarren Park,BROOKLYN,Mccarren Park,B058,,,7189658900,"Nassau Avenue, Bayard, Leonard and North 12th Streets",BROOKLYN,NY,11211,N,,,,,,,,,,,,,,
35118466,12/28/2016 11:59,12/28/2016 12:28,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10459,,,,,,,,BRONX,,N/A,Closed,1/11/2017 11:59,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,12/28/2016 12:28,02 BRONX,BRONX,,,Rainey Park - Bronx,BRONX,Rainey Park - Bronx,X255,,,7184301800,"Dawson and Beck Streets, Intervale and Longwood Avenues",BRONX,NY,10459,,,,,,,,,,,,,,,
35117255,12/28/2016 11:41,4/1/2017 13:54,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10007,,,,,,,,NEW YORK,,N/A,Closed,1/11/2017 11:41,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/1/2017 13:54,01 MANHATTAN,MANHATTAN,,,City Hall Park,MANHATTAN,City Hall Park,M013,,,2124080100,"Broadway, Park Row and Chambers Street",NEW YORK,NY,10007,,,,,,,,,,,,,,,
35112397,12/27/2016 13:06,4/1/2017 13:54,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,10031,,,,,,,,NEW YORK,,N/A,Closed,1/10/2017 13:06,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/1/2017 13:54,09 MANHATTAN,MANHATTAN,,,Alexander Hamilton Playground,MANHATTAN,Alexander Hamilton Playground,M041,,,2124080100,"Hamilton Place, West 140th to 141st Streets",NEW YORK,NY,10031,N,,,,,,,,,,,,,,
35108246,12/26/2016 12:43,12/26/2016 12:57,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11426,,,,,,,,BELLEROSE,,N/A,Closed,1/9/2017 12:43,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/26/2016 12:57,13 QUEENS,QUEENS,,,Alley Pond Park,QUEENS,Alley Pond Park,Q001,,,7185205900,"Little Neck Bay to Spring Boulevard, Union Turnpike",BELLEROSE,NY,11426,,,,,,,,,,,,,,,
35105346,12/26/2016 10:23,12/26/2016 10:57,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10465,,,,,,,,BRONX,,N/A,Closed,1/9/2017 10:23,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/26/2016 10:57,10 BRONX,BRONX,,,Ferry Point Park,BRONX,Ferry Point Park,X126,,,7184301800,"Westchester Court, Schley and Emerson Avenues, East River",BRONX,NY,10465,,,,,,,,,,,,,,,
35103300,12/25/2016 12:38,12/25/2016 13:15,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11201,,,,,,,,BROOKLYN,,N/A,Closed,1/8/2017 12:38,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/25/2016 13:15,Unspecified BROOKLYN,BROOKLYN,,,Brooklyn Bridge Park - Pier 1,BROOKLYN,Brooklyn Bridge Park - Pier 1,,,,7182229939,"Old Fulton Street, Furman Street, East River",BROOKLYN,NY,11201,,,,,,,,,,,,,,,
35101942,12/25/2016 10:54,12/25/2016 11:07,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11361,,,,,,,,BAYSIDE,,N/A,Closed,1/8/2017 10:54,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/25/2016 11:07,11 QUEENS,QUEENS,,,Crocheron Park,QUEENS,Crocheron Park,Q012,,,7185205900,"33rd to 35th Avenues, Little Neck Bay",BAYSIDE,NY,11361,,,,,,,,,,,,,,,
35101939,12/25/2016 12:37,12/25/2016 14:05,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10002,,,,,,,,NEW YORK,,N/A,Closed,1/8/2017 12:37,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/25/2016 14:05,03 MANHATTAN,MANHATTAN,,,East River Park,MANHATTAN,East River Park,M144,,,2124080100,"Montgomery Street to East 12th Street, FDR Drive",NEW YORK,NY,10002,,,,,,,,,,,,,,,
35101938,12/25/2016 12:09,12/25/2016 12:42,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Beach,10465,,,PELHAM BAY PARK,,,,,BRONX,,N/A,Closed,1/8/2017 12:09,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/25/2016 12:42,Unspecified BRONX,BRONX,,,Beach - Orchard,BRONX,Beach - Orchard,X039,,,2124080239,On the Long Island Sound in Pelham Bay Park,BRONX,NY,10465,,,,,,,,,,,,,,,
35095326,12/24/2016 10:04,12/24/2016 10:34,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10456,,,,,,,,BRONX,,N/A,Closed,1/7/2017 10:04,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/24/2016 10:34,03 BRONX,BRONX,,,Drew Playground,BRONX,Drew Playground,X021,,,7184301800,Fulton Avenue and East 169th Street,BRONX,NY,10456,,,,,,,,,,,,,,,
35093448,12/23/2016 13:18,12/23/2016 13:34,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Street/Curbside,,,,,,CHAMBERS,PARK ROW,,,,N/A,Closed,1/6/2017 13:18,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,12/23/2016 13:34,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
35092784,12/23/2016 20:57,12/24/2016 16:14,DPR,Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Park,11217,,,,,,,,BROOKLYN,,N/A,Closed,1/6/2017 20:57,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/24/2016 16:14,08 BROOKLYN,BROOKLYN,,,Dean Playground,BROOKLYN,Dean Playground,B232,,,7189658900,Dean Street and Carlton Avenue,BROOKLYN,NY,11217,N,,,,,,,,,,,,,,
35092482,12/23/2016 14:40,12/23/2016 14:50,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10025,,,,,,,,NEW YORK,,N/A,Closed,1/6/2017 14:40,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/23/2016 14:50,07 MANHATTAN,MANHATTAN,,,Frederick Douglass Playground,MANHATTAN,Frederick Douglass Playground,M220,,,2124080100,"West 100th to 101st Streets, Amsterdam Avenue",NEW YORK,NY,10025,,,,,,,,,,,,,,,
35090665,12/23/2016 15:03,12/23/2016 15:34,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10462,,,,,,,,BRONX,,N/A,Closed,1/6/2017 15:03,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/23/2016 15:34,Unspecified BRONX,BRONX,,,Van Cortlandt Park,BRONX,Van Cortlandt Park,X092,,,7184301890,"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",BRONX,NY,10462,,,,,,,,,,,,,,,
35089613,12/23/2016 14:33,12/23/2016 14:49,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,1/6/2017 14:33,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/23/2016 14:49,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,,,,,,,,,,,,,,,
35089378,12/23/2016 8:06,12/23/2016 9:14,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10468,,,,,,,,BRONX,,N/A,Closed,1/6/2017 8:06,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/23/2016 9:14,07 BRONX,BRONX,,,St James Park,BRONX,St James Park,X044,,,7184301800,"Jerome Ave, East 193rd Street, Creston Avenue, East 191st Street",BRONX,NY,10468,,,,,,,,,,,,,,,
35085686,12/22/2016 16:40,12/22/2016 16:54,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,1/5/2017 16:40,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/22/2016 16:54,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,,,,,,,,,,,,,,,
35085659,12/22/2016 9:47,12/22/2016 12:06,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10472,,,,,,,,BRONX,,N/A,Closed,1/5/2017 9:47,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/22/2016 12:06,09 BRONX,BRONX,,,Watson Gleason Playground,BRONX,Watson Gleason Playground,X124,,,7184301800,Watson and Rosedale Avenues,BRONX,NY,10472,,,,,,,,,,,,,,,
35082766,12/22/2016 14:12,12/23/2016 10:14,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,1/5/2017 14:12,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/23/2016 10:14,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,N,,,,,,,,,,,,,,
35077447,12/21/2016 12:45,4/1/2017 13:30,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11427,,,,,,,,QUEENS,,N/A,Closed,1/4/2017 12:45,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/1/2017 13:30,Unspecified QUEENS,QUEENS,,,Alley Park,QUEENS,Alley Park,Q001A,,,NA 0/0,232 Street and Union Turnpike,QUEENS,NY,11427,N,,,,,,,,,,,,,,
